Name,Risk,Return
Disease 0,0.9047320918315065,9.332033485602267
Disease 1,0.9060829027425348,21.41518010370681
Disease 2,0.8976023238567225,8.895242778120846
Disease 3,0.9136383434752355,14.677305504075006
Disease 4,0.8950739927161824,13.11642307395674
Disease 5,0.8951406313301234,7.922606190938488
Disease 6,0.9023624600945639,3.8418152285199665
Disease 7,0.8791552784902815,7.549197969202909
Disease 8,0.888730253833039,11.701403118736833
Disease 9,0.8900129071715149,4.935397626209159
